Date,País,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2022-12-10,3295.6666666666665,30.666666666666668,74.33333333333333,20.0,28.666666666666668,43.0,19.333333333333332,26.0,82.0,1097.0,9.0,76.66666666666667,39.0,41.666666666666664,90.0,273.0,17.0,66.66666666666667,17.666666666666668,147.66666666666666,39.333333333333336,59.333333333333336,42.666666666666664,126.0,61.333333333333336,60.0,75.33333333333333,325.6666666666667,77.0,11.666666666666666,102.0,92.33333333333333,23.666666666666668
2022-12-11,4178.666666666667,42.0,114.0,26.333333333333332,30.333333333333332,51.666666666666664,25.0,27.333333333333332,98.66666666666667,1430.0,13.333333333333334,120.0,38.666666666666664,53.333333333333336,105.66666666666667,384.6666666666667,22.0,77.66666666666667,20.333333333333332,206.0,51.333333333333336,72.0,56.666666666666664,148.33333333333334,71.66666666666667,68.33333333333333,92.66666666666667,366.3333333333333,91.33333333333333,18.666666666666668,130.33333333333334,97.66666666666667,26.333333333333332
2022-12-12,4490.0,47.333333333333336,125.66666666666667,29.333333333333332,25.0,56.0,21.0,29.666666666666668,97.0,1576.6666666666667,15.666666666666666,144.0,32.666666666666664,58.666666666666664,114.33333333333333,446.6666666666667,21.666666666666668,46.666666666666664,23.666666666666668,224.0,62.333333333333336,81.66666666666667,58.0,170.66666666666666,74.66666666666667,69.0,93.0,356.3333333333333,97.66666666666667,20.666666666666668,143.66666666666666,99.0,27.666666666666668
2022-12-13,4551.666666666667,46.333333333333336,121.0,29.0,19.333333333333332,55.0,18.333333333333332,24.666666666666668,86.66666666666667,1643.3333333333333,17.0,158.0,33.666666666666664,57.666666666666664,115.33333333333333,468.6666666666667,22.333333333333332,58.0,24.0,229.33333333333334,62.0,84.66666666666667,65.66666666666667,151.0,92.33333333333333,81.0,89.0,323.6666666666667,95.66666666666667,20.0,147.33333333333334,87.0,24.666666666666668
2022-12-14,4021.6666666666665,38.0,97.0,21.333333333333332,16.333333333333332,52.333333333333336,12.666666666666666,24.333333333333332,69.33333333333333,1487.6666666666667,13.0,132.33333333333334,29.0,52.333333333333336,109.66666666666667,402.6666666666667,19.666666666666668,75.33333333333333,22.0,196.33333333333334,59.666666666666664,74.66666666666667,60.333333333333336,116.0,89.66666666666667,73.33333333333333,66.0,275.6666666666667,90.66666666666667,16.333333333333332,123.33333333333333,78.33333333333333,26.333333333333332
2022-12-15,3652.0,37.666666666666664,88.0,15.333333333333334,14.666666666666666,48.333333333333336,14.0,18.0,60.333333333333336,1391.0,11.333333333333334,112.0,27.0,47.0,104.33333333333333,357.3333333333333,21.0,77.33333333333333,16.333333333333332,171.66666666666666,52.666666666666664,71.66666666666667,70.0,87.33333333333333,83.33333333333333,75.0,61.0,220.33333333333334,85.66666666666667,15.333333333333334,112.66666666666667,56.0,28.333333333333332
2022-12-16,3626.0,35.666666666666664,79.0,16.0,18.333333333333332,45.333333333333336,17.333333333333332,21.666666666666668,62.666666666666664,1398.6666666666667,12.0,118.0,27.333333333333332,47.333333333333336,106.33333333333333,352.6666666666667,20.666666666666668,80.0,19.666666666666668,149.0,58.0,72.0,72.66666666666667,78.0,79.0,74.0,61.0,216.66666666666666,78.0,16.0,119.0,46.333333333333336,27.666666666666668
2022-12-17,4128.333333333333,53.666666666666664,82.66666666666667,22.0,18.0,51.666666666666664,18.666666666666668,29.333333333333332,62.666666666666664,1516.0,13.0,151.0,31.0,55.0,122.66666666666667,451.6666666666667,24.0,85.0,27.666666666666668,151.0,73.66666666666667,97.0,87.66666666666667,80.33333333333333,91.66666666666667,81.33333333333333,85.0,222.33333333333334,84.66666666666667,21.666666666666668,161.0,47.333333333333336,28.0
2022-12-18,5194.666666666667,66.66666666666667,123.0,36.0,16.333333333333332,74.66666666666667,20.0,45.333333333333336,74.0,1856.6666666666667,16.0,213.33333333333334,38.666666666666664,64.33333333333333,150.33333333333334,619.0,28.666666666666668,113.66666666666667,38.666666666666664,185.0,101.0,130.33333333333334,112.0,100.0,115.66666666666667,89.66666666666667,95.33333333333333,256.0,104.0,35.0,190.66666666666666,52.0,32.666666666666664
2022-12-19,5933.666666666667,82.33333333333333,140.66666666666666,46.666666666666664,14.666666666666666,88.0,22.0,55.666666666666664,74.0,2086.6666666666665,21.666666666666668,249.0,42.0,71.66666666666667,172.0,724.3333333333334,35.666666666666664,157.66666666666666,44.333333333333336,205.0,116.0,166.66666666666666,134.0,112.66666666666667,140.0,99.0,102.33333333333333,269.0,116.0,39.0,216.0,54.0,35.0
